OBS,SAL,EDU,D
248,22050,12,0
249,25500,12,0
250,28200,15,0
251,23100,12,0
252,25500,12,1
253,17100,8,0
254,68125,18,1
255,30600,12,1
256,52125,19,1
257,61875,19,1
258,21300,8,1
259,19650,12,0
260,22350,12,0
261,23400,12,0
262,24300,12,0
263,28500,12,0
264,19950,12,0
265,23400,12,0
266,34500,16,0
267,18150,12,0
268,22350,12,1
269,40200,15,1
270,28650,15,1
271,27750,15,1
272,66875,18,1
273,30000,12,1
274,83750,16,1
275,33900,12,1
276,56500,16,1
277,43000,16,0
278,20850,8,0
279,24450,12,0
280,24750,12,0
281,34500,8,1
282,27900,14,1
283,68125,19,1
284,73500,19,1
285,30750,8,1
286,40050,15,1
287,40350,16,1
288,38700,15,1
289,65000,17,1
290,51450,18,1
291,35250,12,1
292,25950,14,1
293,25050,15,1
294,26700,12,1
295,24000,8,1
296,26850,12,1
297,23400,12,0
298,24600,12,0
299,32550,15,0
300,26550,16,1
301,31500,12,1
302,22350,8,1
303,35250,12,1
304,25800,15,0
305,30750,12,1
306,30750,15,1
307,50000,16,1
308,34500,15,1
309,26250,15,1
310,44875,16,1
311,22500,12,0
312,25650,12,0
313,21300,12,0
314,29850,12,0
315,34500,12,0
316,27750,15,1
317,27750,12,1
318,48750,16,1
319,43410,15,1
320,22050,12,1
321,22050,12,0
322,22500,12,0
323,25500,15,0
324,29160,12,0
325,16800,8,0
326,29550,8,1
327,26700,12,1
328,55000,18,1
329,62500,18,1
330,27300,15,1
331,24450,12,0
332,33000,16,0
333,37050,15,0
334,24450,12,0
335,31950,8,1
336,47250,16,1
337,26100,12,0
338,15900,8,0
339,23700,8,0
340,21750,8,0
341,59400,12,1
342,24450,12,0
343,103500,16,1
344,35700,12,1
345,22200,12,0
346,22950,15,0
347,23100,12,0
348,56750,16,0
349,29100,17,0
350,37650,12,0
351,27900,12,0
352,21150,8,0
353,31200,12,1
354,20550,12,0
355,25950,15,1
356,28350,15,1
357,17700,8,0
358,23550,15,0
359,19950,12,0
360,29400,12,0
361,28800,12,0
362,16950,8,0
363,35700,16,1
364,17400,12,0
365,21450,8,0
366,24750,12,0
367,16950,12,0
368,26100,12,0
369,28050,14,1
370,36600,16,0
371,58125,16,0
372,21300,15,1
373,22500,12,1
374,29400,15,1
375,27450,12,1
376,29850,15,1
377,25350,15,1
378,15750,8,0
379,19650,8,0
380,21000,12,0
381,27000,17,1
382,24000,12,1
383,78500,17,1
384,20850,12,0
385,30000,12,1
386,28500,8,1
387,65000,19,1
388,30150,14,1
389,66875,19,1
390,24150,15,0
391,24450,12,0
392,21600,12,0
393,27900,12,0
394,29100,8,0
395,22650,12,0
396,20850,12,0
397,22950,12,0
398,30600,12,0
399,20400,12,0
400,23850,12,0
401,22800,12,0
402,20700,12,0
403,21300,12,0
404,24300,12,0
405,19650,12,0
406,60000,17,1
407,30300,15,1
408,61250,19,1
409,36000,19,1
410,25200,8,0
411,16200,12,0
412,22800,12,0
413,43500,16,0
414,30300,8,1
415,31950,15,1
416,35250,15,1
417,37800,15,1
418,31200,15,1
419,29400,15,1
420,70000,19,1
421,33900,15,1
422,27150,15,1
423,22200,12,0
424,31350,15,0
425,20850,12,0
426,33300,16,1
427,26250,8,1
428,31950,15,1
429,30000,8,1
430,66250,19,1
431,86250,18,1
432,30750,12,1
433,33540,12,1
434,34950,16,1
435,40350,15,1
436,30270,12,1
437,26250,8,1
438,32400,15,1
439,20400,12,0
440,24150,8,0
441,23850,15,0
442,29700,12,0
443,21600,8,0
444,24450,12,0
445,28050,15,1
446,1.00E+05,16,1
447,49000,15,1
448,16350,12,0
449,70000,16,1
450,55000,19,1
451,28500,15,1
452,28800,12,1
453,24450,15,1
454,90625,19,1
455,43650,16,1
456,75000,19,1
457,31650,15,1
458,61875,19,1
459,21750,12,0
460,22500,12,0
461,21600,8,0
462,34410,16,0
463,20700,15,0
464,47550,19,1
465,33900,12,1
466,23400,12,0
467,32850,16,0
468,55750,16,0
469,25200,15,0
470,26250,12,1
471,26400,15,1
472,39150,15,1
473,21450,12,0
474,29400,12,0
